City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Tawang,IN,2022-03-29 02:20:19,27.5833,91.8667,47.79,75,74,2.73
152,Bentiu,SS,2022-03-29 02:25:23,9.2333,29.8333,78.33,15,50,4.65
153,Kavieng,PG,2022-03-29 02:21:31,-2.5744,150.7967,84.31,66,100,5.79
154,Poum,NC,2022-03-29 02:25:24,-20.2333,164.0167,81.5,81,100,20.98
155,Qaanaaq,GL,2022-03-29 02:19:07,77.484,-69.3632,8.26,96,100,0.09
156,Aljezur,PT,2022-03-29 02:25:24,37.3191,-8.8033,55.49,95,99,6.76
157,Shenavan,AM,2022-03-29 02:25:24,40.0549,43.9288,28.98,80,0,8.05
158,Nanakuli,US,2022-03-29 02:25:25,21.3906,-158.1547,80.55,60,20,6.91
159,Fortuna,US,2022-03-29 02:25:25,40.5982,-124.1573,54.93,86,99,5.99
160,Rio Grande,BR,2022-03-29 02:25:25,-32.035,-52.0986,63.95,75,0,13.33
161,Manokwari,ID,2022-03-29 02:20:18,-0.8667,134.0833,83.86,69,100,8.25
162,Sinop,TR,2022-03-29 02:25:26,41.7711,34.8709,39.54,82,39,11.03
163,Coihaique,CL,2022-03-29 02:25:26,-45.5752,-72.0662,39.15,87,100,0.0
164,Timra,SE,2022-03-29 02:25:26,62.487,17.3257,22.68,74,100,5.75
165,Collie,AU,2022-03-29 02:25:27,-33.3667,116.15,69.12,67,100,12.95
166,Pevek,RU,2022-03-29 02:25:27,69.7008,170.3133,-7.31,87,18,1.81
167,Boyabat,TR,2022-03-29 02:25:27,41.4689,34.7667,41.86,80,37,1.9
168,Saint Anthony,US,2022-03-29 02:21:29,45.0205,-93.218,35.65,35,100,12.66
169,Tuktoyaktuk,CA,2022-03-29 02:18:59,69.4541,-133.0374,-9.4,77,0,11.5
170,Felanitx,ES,2022-03-29 02:25:28,39.4696,3.1483,53.13,91,58,7.49
171,Ilulissat,GL,2022-03-29 02:19:05,69.2167,-51.1,30.22,55,12,13.8
172,Innisfail,AU,2022-03-29 02:21:29,-17.5333,146.0333,83.53,69,70,6.15
173,Muli,MV,2022-03-29 02:25:28,2.9167,73.5667,81.72,71,10,3.56
174,Svetlyy,RU,2022-03-29 02:25:29,54.675,20.1347,39.25,92,84,11.5
175,Vila Velha,BR,2022-03-29 02:25:29,-20.3297,-40.2925,78.75,89,40,4.61
