City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
191,Sao Filipe,CV,72.34,clear sky,14.8961,-24.4956,Hotel Xaguate
193,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
203,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
204,Cabadiangan,PH,77.54,overcast clouds,9.7531,122.4739,Kipot
205,Muscat,OM,82.42,clear sky,23.6139,58.5922,Mutrah Hotel
206,Pailon,BO,74.3,overcast clouds,-17.65,-62.75,Alojamiento pailon
207,Buala,SB,76.62,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
210,Aitape,PG,78.85,overcast clouds,-3.1374,142.3475,
212,Russell,US,70.88,clear sky,32.3502,-85.1999,Macs
218,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
224,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
225,Beroroha,MG,76.32,scattered clouds,-21.6667,45.1667,
226,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
234,Saint-Philippe,RE,72.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
237,Sechura,PE,82.99,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
238,Namibe,AO,70.93,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
240,Kuala Lipis,MY,73.17,broken clouds,4.1842,102.0468,Lipis Centrepoint Hotel
241,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
245,Floriano,BR,83.98,overcast clouds,-6.7669,-43.0225,Hotel Maktub
247,Acarau,BR,80.89,light rain,-2.8856,-40.12,castelo pizzaria
250,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
251,Buchanan,LR,81.75,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
252,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
255,Cayenne,GF,78.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
257,Caravelas,BR,82.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
260,Bhainsdehi,IN,82.78,clear sky,21.6467,77.6325,Prince Rathore HOME
261,Auki,SB,75.99,overcast clouds,-8.7676,160.7034,Auki Motel
262,Moroni,KM,79.38,light rain,-11.7022,43.2551,Hotel les Arcades
263,Merauke,ID,78.91,overcast clouds,-8.4667,140.3333,
265,Sembe,CG,72.66,moderate rain,1.6481,14.5806,
268,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
271,Punta Gorda,US,82.0,scattered clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
273,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
274,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
278,San Policarpo,PH,79.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
281,Moerai,PF,80.42,few clouds,-22.4333,-151.3333,Le Manotel
283,Tomatlan,MX,84.54,scattered clouds,19.9333,-105.25,El Salvial
290,Tabou,CI,81.03,light rain,4.423,-7.3528,hotêl doufoulougou
291,Ilhabela,BR,71.89,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
292,Odweyne,SO,76.87,clear sky,9.4092,45.064,Eng Hiirey House
293,Lugoba,TZ,71.19,light rain,-6.45,38.3333,
294,Manavalakurichi,IN,80.65,few clouds,8.1333,77.3,Jebinrio home
295,Tadine,NC,79.68,overcast clouds,-21.55,167.8833,
298,Meulaboh,ID,79.59,overcast clouds,4.1363,96.1285,Kost Pria
299,Kavaratti,IN,82.81,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
300,Faanui,PF,81.79,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
301,Mayumba,GA,77.0,moderate rain,-3.432,10.6554,LIKWALE LODGE
302,Mecca,SA,80.98,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
308,Minuri,PH,70.57,scattered clouds,16.535,121.8574,
309,Marzuq,YE,70.41,clear sky,14.4,46.4667,
310,Marsh Harbour,BS,79.21,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
313,Lamu,KE,84.42,few clouds,-2.2717,40.902,Lamu House
314,Zwedru,LR,77.83,moderate rain,6.0667,-8.1281,Elijah Worjloh
317,Kirakira,SB,78.01,moderate rain,-10.4544,161.9205,SanBiz Lodge
318,Taoudenni,ML,84.72,overcast clouds,22.6783,-3.9836,
322,Sapa,PH,80.44,overcast clouds,5.1544,120.3241,
324,Upington,ZA,73.78,clear sky,-28.4478,21.2561,River Place Manor
325,Pyay,MM,79.56,scattered clouds,18.8167,95.2167,Shwe Pyi Thar
326,Kamphaeng Phet,TH,81.03,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
331,Dharmadam,IN,80.71,broken clouds,11.7833,75.4333,Samudra Homes
332,Tual,ID,82.22,few clouds,-5.6667,132.75,Grand Vilia Hotel
333,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
337,Biankouma,CI,73.15,overcast clouds,7.7391,-7.6138,Hôtel Licolais
350,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
354,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
355,Mahanoro,MG,72.73,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
359,Maun,BW,73.36,clear sky,-19.9833,23.4167,Enviro Villa
360,Tshikapa,CD,73.8,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
362,Ampanihy,MG,73.18,clear sky,-24.7,44.75,Angora Hotel
365,Tutoia,BR,79.56,broken clouds,-2.7619,-42.2744,Pousada Guará's
369,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
371,El Rosario,MX,82.06,overcast clouds,24.2556,-107.1828,Mi casa
378,Bengkulu,ID,76.5,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
379,Karanganyar,ID,72.32,overcast clouds,-6.7072,111.0834,Guntur Patie Home's
382,Qui Nhon,VN,75.0,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
383,Namatanai,PG,78.04,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
384,Ascension,US,76.08,clear sky,30.2169,-90.9001,Highland Inn
385,Piacabucu,BR,82.15,light rain,-10.4056,-36.4344,Piaçabuçu News
388,Sijunjung,ID,70.27,few clouds,-0.6876,100.9537,Hotel Bukik Gadang
394,Santa Fe,AR,72.01,clear sky,-31.6333,-60.7,Conquistador Hotel
399,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
401,Dhanera,IN,82.29,clear sky,24.5167,72.0167,Paresh joja
402,Anloga,GH,83.25,light rain,5.7947,0.8973,Pin Drop Hotel
403,Garissa,KE,82.58,light rain,-0.4536,39.6401,Sharif Plaza Hotel
404,Angoram,PG,72.72,overcast clouds,-4.0625,144.0661,
405,Matara,LK,78.01,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
406,Chulucanas,PE,84.15,overcast clouds,-5.0925,-80.1625,El Diamante
411,Adre,TD,84.56,clear sky,13.4667,22.2,
412,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Beach Rotana
413,Hualmay,PE,74.37,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
415,Sidhauli,IN,79.74,clear sky,27.2833,80.8333,Rainbow Garden
418,Sao Jose Da Coroa Grande,BR,82.06,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
421,Gizo,SB,80.55,light rain,-8.103,156.8419,Imagination Island
424,Saint-Paul,RE,73.51,moderate rain,-21.0096,55.2707,Boucan Canot
425,Catuday,PH,78.94,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
428,Baculin,PH,76.96,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
429,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
432,Hue,VN,71.71,overcast clouds,16.4667,107.6,Saigon Morin Hotel
433,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
436,Hobyo,SO,82.11,clear sky,5.3505,48.5268,Iftin hotel hobyo
440,Acari,PE,79.84,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
444,Corn Island,NI,81.46,broken clouds,12.1694,-83.0418,Big Fish Guest House
445,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
446,Makakilo City,US,75.29,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
451,Nchelenge,ZM,71.11,overcast clouds,-9.3451,28.734,KD Travellers Home
452,Dabakala,CI,84.52,light rain,8.3667,-4.4333,Hôtel Campement
453,San Ramon De La Nueva Oran,AR,79.43,clear sky,-23.1322,-64.326,Hotel Residencial Centro
462,Manicore,BR,83.89,moderate rain,-5.8092,-61.3003,Hotel Durval
463,Lazaro Cardenas,MX,80.73,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
465,Santana Do Mundau,BR,77.86,overcast clouds,-9.1681,-36.2222,Casa do crepe LL
466,Adrar,MR,81.84,clear sky,20.5022,-10.0711,
469,Padang,ID,75.25,clear sky,-0.9492,100.3543,Mercure Padang
470,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
472,Mayor Pablo Lagerenza,PY,74.64,overcast clouds,-19.9309,-60.7718,
474,Tecoanapa,MX,82.0,clear sky,16.5167,-98.75,Hotel Manglares
476,Djambala,CG,70.52,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
477,Muisne,EC,81.81,scattered clouds,0.6,-80.0333,Quinta Samay
483,Biak,ID,76.05,scattered clouds,-0.9131,122.8766,Penginapan Kim
484,Sibolga,ID,76.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
485,Tautira,PF,80.53,light rain,-17.7333,-149.15,Pension Oaoa
