City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Tarauaca,BR,-8.1614,-70.7656,64.9,99,100,4.74,overcast clouds
240,Kuala Lipis,MY,4.1842,102.0468,73.17,99,81,1.45,broken clouds
241,Cap Malheureux,MU,-19.9842,57.6142,75.47,90,100,5.99,light rain
242,Nanfeng,CN,23.7434,111.7959,55.42,92,100,2.64,overcast clouds
243,Rundu,NA,-17.9333,19.7667,69.84,74,81,4.83,broken clouds
244,Sioux Lookout,CA,50.1001,-91.917,39.27,41,75,10.36,broken clouds
245,Floriano,BR,-6.7669,-43.0225,83.98,69,100,1.7,overcast clouds
246,Victoria,HK,22.2855,114.1577,62.33,79,100,8.01,overcast clouds
247,Acarau,BR,-2.8856,-40.12,80.89,82,76,9.73,light rain
248,Chongwe,ZM,-15.3292,28.682,63.77,95,0,3.33,clear sky
249,Pontes E Lacerda,BR,-15.2261,-59.3353,66.78,76,100,5.57,overcast clouds
250,San Cristobal,VE,7.7669,-72.225,80.78,37,95,7.49,overcast clouds
251,Buchanan,LR,5.8808,-10.0467,81.75,81,89,8.63,overcast clouds
252,Kuching,MY,1.55,110.3333,77.22,94,20,3.44,few clouds
253,Uzice,RS,43.8586,19.8488,48.47,73,99,3.02,overcast clouds
254,Koratla,IN,18.8167,78.7167,88.45,25,4,5.5,clear sky
255,Cayenne,GF,4.9333,-52.3333,78.1,1,75,3.44,moderate rain
256,Killam,CA,52.7834,-111.8518,33.75,86,98,8.05,overcast clouds
257,Caravelas,BR,-17.7125,-39.2481,82.45,66,0,8.1,clear sky
258,Constantine,DZ,36.365,6.6147,47.61,76,75,6.91,broken clouds
259,Broome,US,42.2506,-75.833,43.7,71,75,11.01,light rain
260,Bhainsdehi,IN,21.6467,77.6325,82.78,14,0,4.29,clear sky
261,Auki,SB,-8.7676,160.7034,75.99,90,100,2.95,overcast clouds
262,Moroni,KM,-11.7022,43.2551,79.38,80,9,2.06,light rain
263,Merauke,ID,-8.4667,140.3333,78.91,75,100,3.65,overcast clouds
264,Begunitsy,RU,59.5855,29.3176,21.18,91,46,3.38,scattered clouds
265,Sembe,CG,1.6481,14.5806,72.66,94,100,2.19,moderate rain
266,Port-Cartier,CA,50.0334,-66.8654,32.76,97,100,15.17,overcast clouds
267,Chapais,CA,49.7834,-74.8492,20.98,87,100,12.48,light snow
268,Cockburn Town,TC,21.4612,-71.1419,82.36,61,40,17.27,scattered clouds
269,Zhaozhou,CN,45.6833,125.3167,31.66,41,15,6.87,few clouds
270,Esmeraldas,BR,-19.7625,-44.3139,87.91,58,97,3.33,overcast clouds
271,Punta Gorda,US,26.9298,-82.0454,82.0,78,40,17.27,scattered clouds
272,Sungaipenuh,ID,-2.0833,101.3833,63.16,89,56,1.77,broken clouds
273,Mahebourg,MU,-20.4081,57.7,77.29,94,75,12.66,broken clouds
274,Kudat,MY,6.8837,116.8477,77.29,100,20,1.14,few clouds
275,Port Lincoln,AU,-34.7333,135.8667,61.02,77,0,16.8,clear sky
276,Batagay,RU,67.6333,134.6333,-10.86,98,35,4.43,scattered clouds
277,Kruisfontein,ZA,-34.0033,24.7314,62.89,83,4,4.07,clear sky
278,San Policarpo,PH,12.1791,125.5072,79.83,79,100,15.08,overcast clouds
279,Vanavara,RU,60.34,102.2797,14.0,95,97,5.37,overcast clouds
280,Qaqortoq,GL,60.7167,-46.0333,43.92,68,17,5.84,few clouds
281,Moerai,PF,-22.4333,-151.3333,80.42,67,21,17.02,few clouds
